"Story","Title","Result","Date","Stability","Duration (s)"
"HU1247_Inicio de sesion por primera vez","Validacion elementos home page","ERROR","2025-03-21T22:50:08.595689-05:00[America/Bogota]","0.0","6.0"
"HU1247_Inicio de sesion por primera vez","Validacion elementos home page","ERROR","2025-03-21T22:54:30.228424-05:00[America/Bogota]","0.0","1.65"
